page,chars_extracted,words_extracted,preview
12,3505,537,4 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture where to sell? When to sell? Whom to sell to?  What form to sell in? What price to sell for? • Do you get real time market information and market intelligence on proposed crops? Policies and schemes • Do Government policies favour your crops? • Is there any existing scheme which incentivises your crop? • Are you eligible to avail those benefits? Public and private extension influence Do you have access to Agricu...
13,1868,300,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 5Climate, cropping pattern and agricul- tural production issues • Cropping patterns based on climate and land  capability are sustainable but market forces and farmers’ aspirations are forcing unsustainable systems. • Farmers must innovate in producing more even from less endowed areas by adopting suitable technologies to cope with changing climate.  • Climate change will likely to cause further problems in our cr..."
14,3633,559,"6 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Change in pest and disease scenario  due to climate change • Due to increase in rainfall: Pests like bollworm,  red hairy caterpillar and leaf spot diseases may increase.Due to increase in temperature: Suck-ing pests such as mites and leaf miner may in-crease. • Due to variation in rainfall and temperature: Pest and diseases of crops to be altered because of more enhanced pathogen and vector devel-opment, rapid ..."
15,798,107,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 7Coping options for farmers Enlarging the Food Basket • Diversifying the livelihood sources.  • Changing cropping patterns. • Increased traditional coping strategies. • Change to a mixed cropping pattern. E.g: Crop Mixture-Nutri Millets, Pulses and Oilseed Integrated Farming System • Increased share of non-agricultural activities  E.g: Type of Integrated Farming Systems  Agriculture +vegetable cultivation Agricult..."
16,377,51,"8 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Coping options for farmers continued.... Lucerne & Sunhemp for green  manuring & fodder  Farm Pond   Conservation Furrow  • Improved on-farm soil & water conservation. • Adopting scientific water management, nutri- ent management and cultural practices.  Vegetative Barriers Percolation Tanks"
17,475,63,General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 9Coping options for farmers continued....  Contour trenching for runoff collec-tion Conventional Raised Bed Planting • 20-25% Saving in irrigation water  Shelterbelts • Shelterbelts reduce wind velocity. • Moderate temperature. • Reduce evaporative loss and conserve soil  moisture. Straw Thatching • Protecting young seedlings against cold by cov-ering with straw thatching. Frost Protection
18,3648,605,"10 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 1.5. Soil and Water Conservation Soil and water are our precious heritage. Hence,  it is obligatory on our part to protect and hand  over these resources to further generations. It is estimated that about 50% of the cultivated area in India suffers from severe soil erosion and requires remedial measures.  • Water resources are essential for increasing and stabilizing crop production. • Wind erosion has been res..."
19,1711,272,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 11 • Rills develop when there is a concentration  of runoff water which, if neglected, grow into large gullies. • More serious in soils having a loose shallow top soil. • Transition stage between sheet erosion and gul-lying. Gully erosion: Removal of soil by running wa- ter with the formation of channels that cannot be smoothed out completely by cultivation. • Advance stage of rill erosion. • Any concentration of ..."
20,2554,398,12 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Conservation farming • Farming across the slope • Strip cropping • Rotations • Mixed cropping and intercropping • Surface mulching • Timely farm operations • Improved water user efficiency • Land levelling • Providing safe drainage • Intermittent terraces • Growing vegetation on the bunds Vegetation and vegetative management • Strip cropping • Stubble mulching • Mulching Wind erosion management • Protect the so...
21,3409,585,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 131.6. Irrigation An adequate water supply is important for plant  growth. When rainfall is not sufficient, the  plants must receive additional water from irriga-tion.  Points consider for irrigation decisions • Land suitability for irrigation like slope • Effective rainfall: Part of the total rain is useful for crop production • When to irrigate: Decide based on soil, crop and climatic condition • How much to irr..."
22,2689,438,"14 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture or bund breaks. (ii) The cascade method:  irrigation water is supplied to the highest terrace, and then allowed to flow to a lower terrace and so on.  Maintenance of basins• Bunds are susceptible to erosion. This may be caused by, for example, rainfall, flood or the passing of people when used as foot-paths.  • Rats may dig holes in the sides of the bunds.  • Therefore, it is important to check the bunds regula..."
23,1002,161,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 15• Cooling of crops • Higher pro+ductivity of crops Use of Sprinklers for different crops Crop Type Crop Example  Cereals Maize, Sorghum, Wheat, Jowar Flowers Carnation, Jasmine, Marigold Oilseeds Groundnut, Mustard, Sunflower Vegetables Onion, Potato, Radish, Carrot Fodders Asparagus, Pastures Pulses Gram, Pigeon pea, Beans Plantation Coffee, Rubber, Tamarind Fibre Cotton, Sesame Spices CardamomResponse of diffe..."
24,1160,177,"16 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Drip irrigation Water is conveyed under pressure through a pipe  system to the fields, from where it is discharged slowly or at a pre designed rate. The latter can be matched to the soil infiltration capacity through emitters or drippers that are located close to the root zone of the plants. A typical drip irrigation system consists of the following components:• Pump unit • Control unit • Filtering unit • Mainl..."
25,908,125,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 17Name of the Crop Critical Stages  Oil Seeds Ground nut Flowering, Peg Formation and Pod Development Sesame Blooming to Maturity Sunflower Pre-flowering to Post-flowering Soybean Blooming and Seed Formation Vegetables Onion Bulb Formation and Pre-maturity Tomato Flowering and Fruit Setting Chilies Flowering and Fruit Setting Cabbage Head Formation Potato Tuber Initiation to Maturity Carrot Root Enlargement Others..."
26,1506,223,18 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Crop Yield increase  (%)Water saving  (%) Sugarcane 133.3 49.3 Cotton 88.0 46.6 Onion 53.8 46.1 Potato 79.5 54.1Benefits of drip irrigation over surface irrigation continued.... Crop Yield increase  (%)Water saving (%) Lady’s finger 16.0 40.0 Brinjal 14.0 53.0 Chillies 44.0 62.0 Papaya 75.0 68.0 On-farm irrigation efficiency of different irrigation methods 1.6.2. Centrally sponsored micro irrigation scheme It i...
27,2826,449,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 19Salient Features • Out of the total cost of the Micro Irrigation (MI) System, 40% will be  borne by the Central Government, 10% by the State Government and the remaining 50% will be borne by the beneficiary either through his/her own resources or soft loan from financial institutions. • Assistance to farmers will be for covering a maximum area of 5 hec-tare per beneficiary family. • Assistance for drip and sprin..."
28,1608,260,20 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Eligibility As indicated in column 5 above. Area of Operation The focus will be on horticultural crops being covered under the Na- tional Horticulture Mission in 24 States/UTs. A cluster approach will be adopted. The focus has also been extended to non horticultural crops. Procedure to Apply Project proposals are submitted through the State Government for re-lease of assistance. 1.6.3. Drainage Drainage it is a...
29,2451,408,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 211.7. Seed  A ’seed’ (in some plants, referred to as a ‘kernel’)  is a small embryonic ’plant’ enclosed in a cov- ering called the seed coat, usually with some ‘stored food’ . Seeds fundamentally are a means of repro-duction and most seeds are the product of ‘sexual reproduction’ , which remixes genetic material and ‘phenotype variability’ that ‘natural selection’ acts upon. The seed is the basic input in agricul..."
30,2145,341,"22 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Seed treatment Seed treatment is usages of specific products and spe- cific techniques to improve the growth environment for the seed, seedlings and young plants. It ranges from a basic dressing to coating and pelleting. Seed dressing: This is the most common method  of seed treatment. The seed is dressed with either a dry formulation or wet treated with a slurry or liq-uid formulation. Dressings can be applied..."
31,1873,288,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 23Recommendation of seed treatment for different crops contiued... Name of Crop Pest / Disease Seed Treatment Remarks Chillies Anthracnose spp. Damping off Soil borne infection of  fungal disease   Jassid, aphid, thripsSeed treatment with Trichoderma viride 4g/kg Trichoderma viride @ 2 gm/kg. seed and  Pseudomonas flourescens@10gm/kg Cap-tan  75 WS @ 1.5 to 2.5 gm a.i./litre for soil  drenching. Imidacloprid 70 WS..."
32,2054,313,"24 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 1.8. Cropping systems Farmers resort to cultivation of a number of crops  and rotate particular crop combinations. More  than 250 cropping systems are being followed in In-dia, of which 30 cropping systems are more preva-lent. Some of the important cropping systems are: 1. Sequential cropping system:  Growing crops in sequence within a crop year, one crop being sown after the harvest of the other. For example, ..."
33,2230,333,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 25Integrated farming System (IFS) To feed ever-increasing population of the country,  extensive cropping system give ways to intensive cropping which are exploiting natural resources. Therefore in future more thrust will be on efficient natural resource management and sustainable pro-duction system. This encompasses an animal com-ponent, an perennial and annual crop component, aqua culture, agro based production a..."
34,1575,224,"26 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 1.9. Mechanization Modernization of agriculture requires appro- priate machinery for ensuring timely field  operations, effective application of agricultural in-puts and reducing drudgery in agriculture. Advantages of mechanization • Increase cropping intensity • Ensure large area coverage and timeliness • Increasing farm labour productivity • Increases crop productivity and profitability First step in mechaniz..."
35,514,82,General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 27 Seed Treating Drum Tractor Drawn CRIDA 9 Row Planter CRIDA 2 Row Planter Field of Operation of Y anji Transplanter for SRI Inter-Cultivation Equipments Wheel Hoe Reduces the cost of weeding up to 50% Grubber Weeder Cost savings of up to 60% are possible at the early stages of  crop growth. Cono Weeder Weeding under wetland paddy cultivation Tractor – Operated Cotton Weeder B.D. 3 Tyne CultivatorSeeding and Plan...
36,503,79,28 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture Plant Protection Equipments Knapsack Power Sprayer Tree Sprayer Blower Sprayer Power Tiller Mounted Sprayer Harvesting Equipments Austoft Chopper Harvester Coconut Tree Climber Groundnut Digger Banana Clump Remover Cotton Stalk Puller• Used for picking of coconuts  • Average time taken for climbing up and down is about  6.30 min for a 13 m tree and time for fixing and remov-ing the device on the tree is 4 minut...
37,205,25,General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 29 Castor Sheller  Groundnut Pod StripperThreshing Equipments Seed Cleaner  Winnowing FanWinnowing and Clearing Equipments
38,3420,496,"30 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 1.10. Good Agricultural Practices  (GAP) Good Agricultural Practices (GAP) are ""prac - tices that address environmental, economic and  social sustainability for on-farm processes, and which  result in safe and quality food and non-food agricul-tural products"". What are GAP codes, standards and  regulations?  Good Agricultural Practices (GAP) codes, stand- ards and regulations are guidelines which have been deve..."
39,2789,403,General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 31Seeding techniques  • Depth of placement • Method of placement • Time of placement • Seed treatments • Managing the above based on pest nature will  give good results Promote useful animals • Keep good predator population. • Promote growth of beneficial insects. • Create an environment congenial for predators; e.g. keeping bird perch in the field. • Identify the useful animals and study their hab-itat for provid...
40,0,0,
41,1470,228,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 332.1. Objectives of the session  • To increase the awareness and understanding about the soil, its structure, physical, chemical and bio- logical properties and soil fertility.  • To strengthen the farmer’s knowledge to manage the soil fertility in an economically and environmen-tally sustainable manner. 2.2. What we know at the end of the session • Soil composition • Physical, chemical and biological characteristics of soil • Soil..."
42,1376,227,"34 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Soil colour • Dark colour indicates usually medium to high  fertility due to high amount of organic matter. These soils have usually high amount of nutri-ents, good water holding capacity and structure and are well aerated.  • Light colour indicates medium to low fertil-ity. These soils may have leaching issue (water makes organic matter and other nutrients move downward faster).  Soil depth • The depth of soil to which the roots..."
43,2040,344,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 35Soil pH • Soil pH is of utmost importance in plant growth  as it influences nutrient availability, toxicities and the activity of soil organisms.Tips for soil pH management • Acid soils are to be corrected by using lime, quantity of lime application is as per soil test report. • Alkali soils are to be corrected by gypsum/sul-phur, quantity of application is as per soil test report. • Saline – alkali soils should be treated with gy..."
44,2357,359,36 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Strongly acidMedium  acidSlightly acidVery slightly acidVery slightly alkalineSlightly alkalineMedium alkalineStrongly alkaline 4.0 4.5 5.0 5.5 6.0 6.5 7.0 7.5 8.0 8.5 9.0 9.5 10nitrogen phosphoruspotassium sulphur calciummagnesium iron manganese boron copper & zinc molybdenum • Applying various organic manures • Mulching organic wastes • Using green manures and cover crops • Suitable crop rotation • Reducing soil tillage • Avoid...
45,1158,172,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 372.4. Deficiency Symptoms of Nutrients in Plants Nitrogen (N) – deficiency symptoms 1. Stunted growth. 2. Appearance of light green to pale-yellow col- our on the older leaves, starting from the tips. This is followed by death and/or dropping of the older leaves depending upon the degree of deficiency. 3. In acute deficiency, flowering is greatly re-duced. 4. Lower protein content.  Phosphorous (P) – deficiency  symptoms 1. Overall..."
46,1414,216,"38 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Calcium (Ca) – deficiency symptoms 1. Calcium deficiencies are not seen in the field  because secondary effects associated with high acidity limit growth. 2. The young leaves of new plants are affected first. These are often distorted, small and ab-normally dark green. 3. Leaves may be cup-shaped and crinkled and the terminal buds deteriorate with some breakdown of petioles. 4. Root growth is markedly impaired; rooting of roots o..."
47,1699,273,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 39  Zinc (Zn) deficiency symptoms 1. Deficiency symptoms mostly appear on the  2nd or 3rd fully mature leaves from the top of plants. 2. In maize, from light yellow striping to a broad band of white or yellow tissue with reddish purple veins between the midrib and edges of the leaf, occurring mainly in the lower half of the leaf. 3. In wheat, a longitudinal band of white or yel-low leaf tissue, followed by interveinal chlo-rotic mot..."
48,1184,185,"40 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Boron (B) - deficiency symptoms 1. Death of growing plants (shoot tips). 2. The leaves have a thick texture, sometimes  curling and becoming brittle. 3. Flowers do not form and root growth is stunted. 4. “Brown heart” in root crops characterized by dark spots on the thickest part of the root or splitting at centre.  Manganese (Mn) - deficiency  symptoms 1. Chlorosis between the veins of young leaves,  characterized by the appeara..."
49,499,92,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 41Some common deficiency symptoms are:  Chlorosis - It is the loss of chlorophyll leading  to yellowing in leaves. It is caused by the defi- ciency of elements like K, Mg, N, S, Fe, Mn, Zn and Mo. Necrosis are death of tissues, particularly leaf  tissue is caused by deficiency of K, Ca, Mg Inhibition of cell division is caused due to lack or deficiency of N, K, S and Mo.  Premature fall of leaves and buds  • deficiency of K and P ."
50,318,54,"42 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Stunted/Retarded plant growth caused  by the deficiency of N, P , K, Zn, Ca. Delay in flowering due to deficiency of N, S  and Mo. In case the farmers observe the above symptoms, farmers are advised to consult the local extension worker  for remedies."
51,2183,339,Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 432.5. Different fertilizers and their  nutrient content Important chemical fertilizers are the source of  major nutrients. Different fertilizers and their  nutrient content are illustrated in the table below:  Fertilizer Nutrient content (%) N P* K Single nutrient fertilizers Ammonium sulphate 20 0 0 Urea 46 0 0 Calcium ammonium nitrate128 0 0 Single super phosphate 0 7 0 Triple Super Phosphate 0 20 0 Potassium sulphate 0 0 40 Muri...
52,1001,166,44 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Soil sampling: an illustration Selecting sampling spot Remove the surface litter at the  sampling spotMake a ‘V’ shaped cut to a depth of 15 cm in the sampling spot Collect soils - V shaped cut:Remove thick slices of soil from top to bottom of exposed face of the ‘V’ shaped cut and place in a clean containerMix the samples thoroughly Quartering is done by dividing the thoroughly mixed sample into four equal partsTwo opposite quar...
53,3531,563,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 45B. Plant Analysis Plant Analysis is the second tool, after soil test- ing that is critical to improve crop nutrition and  yield. Only plant analysis can identify the actual nutrient status of a plant or crop. While soil testing identifies the nutrients offered to the crop or plants, Plant analysis identifies how well the plants utilizes the soil nutrients and applied nutrients. Plant analy-sis allows the plant to tell us what nutr..."
54,1954,324,46 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture The soil nutrient demand usually is based on: • Soil nutrient level • Crop variety and yielding ability • Soil moisture • Targeted yield Soil analysis direct the farmer on quantity and qual- ity of fertilisers to be used. Farmers can get the crop specific nutrient (fertilizer) recommendations af-ter consulting the local extension service or their DESAI-trainer and discussing with them the soil analysis report.  C. Recommended Fer...
55,2242,335,Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 47Disadvantages: • Over application usually results in economic  and environmental losses. • Over supply makes plant tissues soft and vul-nerable to diseases and pathogens. • Increased rate of soil organic matter decompo-sition resulting in soil degradation. • Many nutrients applied are easily lost through different chemical reactions. Organic fertilizers Advantages: • Balanced nutrient supply. • Enhance the soil biological activity...
56,2594,447,"48 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Ring application: Spread the fertilizer around  the tree at a distance of about one meter. Foliar application: liquid fertilizers are sprayed  on the crops. • Highly efficient • Special equipment required • High cost • Only selected fertilizers can be applied Fertigation along with irrigation Method of application and nutrients The method of application should be chosen ac- cording to the nutrient, crop, soil and cultivation meth..."
57,2528,442,Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 49 The formula for calculating the fertilizer to be  applied (kg/ha) =  100 --------------------------------------- X recommended Nutrient content in the dose (kg/ha)  fertilizer material (%)  Nutrient cost comparison Example - 1 1. Urea with 46% N costs Rs.562.20 per 100 kg. 2. Ammonium sulphate 20% N costs Rs.1029 per 100 kg. Urea has 46% N i.e. 46 kg N in every 100 kg urea. Therefore unit value of N in urea: 562.2/46= Rs.12.22 pe...
58,3418,582,"50 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Organic fertilizers Organic manures are natural p roducts used to pro- vide the nutrients to crops. Examples of organic  manure are cow dung, farmyard manure, green ma- nure, compost from crop residues, vermicompost and other biological waste. Organic manures increase the organic matter in the  soil. Organic matter in turn releases the plant food in available form for the use of crops. However, or - ganic manures should not be se..."
59,3341,509,Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 51• Loppings of trees can be incorporated 15 days  before planting • Provide approximately 5 to 10 tons Example: Pongamia and Neem  Oilcakes • Concentrated organic matter • Mix with chemical fertilizer is useful as they make fertilizer slow release • Use to enrich compost/organics • Use preferably non edible oil cakes Liquid Fertilisers • Liquid form of fertilizers are applied with irri-gation water or for direct application through...
60,1989,283,"52 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Plant Nutrient Microorganism Crops Benefited NITROGEN a) Symbiotic Rhizobium Azolla b) Associative Symbiosis Azospirillum c) Non Symbiotic Azotobacter Blue- green AlgaeAll leguminous crops; Rice All cereal crops; Sugar cane All crops; Rice PHOSPHORUS Microorganism Crops Benefited a) Solubilizing  EffectBacteria: (Bacillus, Pseudomonas) Fungi: (Aspergillus Penicillium)All CropsAll Crops b) Absorbing  Effect Ecto Mycorrhizal Endomy..."
61,2900,480,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 53I. Package of Practices – Banana Banana is one of the most commonly grown fruit crop of the country. India produces about  26.217 MT of banana from an area of 0.709 Mha with an average productivity of 37.0 mt/ha.  Major producing states are Tamil Nadu, Maharashtra, Karnataka, Gujarat, Andhra Pradesh, As-sam and Madhya Pradesh. Tamil Nadu has 0.1244 mha under banana and the total production during 2008-09 is 6.667 Mmt with 53.6 mt/..."
62,1594,277,54 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Details of Drip System Lateral spacing 1.5 m Dripper per plant 2 Spacing between two drippers 30 cm away on either side of stem Dripper discharge rate 4.0 lph Water requirement for banana under drip irrigation Months after planting Liters / day / plant 1-3 5 3-5 9 5-8 11 8-11 10 Application of Fertilizers Basal FYM should be applied @ 20 to 25 t/ha at the time of land preparation. Top dressing of fertilizer  should be done as giv...
63,2295,380,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 55Plant protection measures  Diseases Control Measures Bunchy top Aphid should be controlled by applying systemic insecticide  viz; Acetamiprid: (0.2gm/litre). Premature fruit ripening Sucker should be dipped in the solution of Aurofugin1 10 g in  100 litres of water for 1.5 hrs. Pests Control Measures Rhizome weevil and nematode Neem based products such as Neem oil, Neem cake, Neem seed Kernal extract (NSKE) can be applied. Bunch c..."
64,2821,462,"56 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture II. Packages of Practices – MANGO Mango is the most important fruit crop of India. India produces about 12.750 Mt of Mango  from an area of 2.309 Mha with an average productivity of 5.5 mt/ha. Major producing  states are Andhra Pradesh, Uttar Pradesh, Bihar, Karnataka, Tamil Nadu, West Bengal, Orissa & Maharashtra. Uttar Pradesh has 0.2712 mha under mango and the total production during 2008-09 is 3.465 Mt with 12.8 mt/ha product..."
65,2394,368,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 57 MangoApplication of fertilizers: Mango should be manured with phosphorus twice in a year i.e. the  beginning of the monsoon (June-July) and during the period of post-monsoon (September-Octo- ber). Usually fertilizers (N and K) are applied in split doses in the month of June-July, September-October, January-February and March-April. For adult trees (10 years or above) 1,000g N, 75g P2O5, 75g K2O and 100 kg FYM per year should be a..."
66,1668,250,"58 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Disease Symptoms Control measures Anthracnose It attacks leaves, flowering  panicles and fruits.Spraying of Copper Oxychloride (0.03%)can control this disease. Powdery mil-dewWhitish powdery growth on the leaves.Wettable sulphur (0.02%) and Bayleton  (0.05%). Bacterial Can-kerUnattractive fruits because affected parts of fruits show longitudinal crack and oozing of bacterial exudate and lead-ing to fruit drop.StreptocycIine(100-2..."
67,1742,309,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 59III. Package of Practices - Sugarcane Time Schedule Recommended Operations Before planting Plough the land up to 45 cm depth. Apply 25 tons per hectare of well-decomposed Farm Y ard Manure  (FYM) or decomposed molasses or compost and deep plough the field with tractor. Make ridges and furrows with 80 cm spacing having 20 cm height and  up to 10 m length. Apply 375 kg super phosphate in the furrows. Planting day Select about 75,000..."
68,1605,278,"60 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 45th day after planting Do hand weeding. Apply in pits a mixture of 110 kg nitrogen1, 60 kg of potash and 35 kg  of neem cake per hectare. 60th, 90th and 120th  days after plantingSpray a mixture of urea 2.5%, potassium chloride 2.5% during periods  of drought. On the 60th day, apply a mixture of 5kg azospirillum, 5kg phospho- bacterium and 250 kg of decomposed FYM in powder form at the bot-tom of the plants and irrigate immediat..."
69,1448,256,"Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 61SCHEDULE OF OPERATIONS: RATOON CROP  Time Schedule Recommended Operations Remove trash, stubble shave uniformly under correct moisture condi- tions with sharp spades. Mix 15 tons of FYM or 25 tons of compost or 25 tons of decayed mo- lasses with 375 kg Superphosphate (75 kg of P2O5), 135 kg of nitrogen and 35 kg of neem cake per hectare in pits. Irrigate immediately, cutting the sides of the ridges and ensuring mix- ing of applied..."
70,880,149,"62 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 30, 60 and 90 days Spray a mixture of urea 2.5%, and potassium chloride 2.5%on the  leaves in drought situations. 120th day Detrash and earth up well. 121 to 210 days Release Trichogramma parasites (when required) once in 15 days. 180 days: Detrash a second time. 210 days Spray acetamiprid or thiamethoxam (0.2gm/litre of water) to control mealy bugs, white fly and scale insects. 251-360 days Irrigate once in 15 days and stop irri..."
71,2559,421,Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture 63IV . Package of Practice for Nagpur Mandarin  Cultivation Selection of site  Orchard: Soil should be well drained and of shallow or medium depth. Deep heavy soils hav- ing more than 60% clay contents are not suitable for citrus plantation. Nursery: Nursery  should be located at least 500 meters away preferably on western side of the orchard to minimize  incidence of insect pests and diseases. Raising of citrus nursery  Sowing of R...
72,2167,369,"64 Soil and Plant Nutrition Farmer’s Handbook on Basic Agriculture Budding • Budsticks should be used from the author - ized and certified source only.  • Budstick should be drawn from the last  years flush. The stick should have pencil thickness, be roundish and have whitish longitudinal streaks.  • Budstick should not be drawn from rub-bery wood or kikarpani plants.  • Budding should be performed at 10” – 12” height on the rootstock seedling.  Orchard Establishment  Pits size  • Pits for plant..."
